,artist,title,mbid
288,Bob Dylan,I Contain Multitudes,01bd7388-8ebb-4fa5-bd9f-e3dc3d3fe52e
289,Bob Dylan,I've Made Up My Mind to Give Myself to You,bcbe9762-e817-48c0-9940-1ab5d308873c
290,Bob Dylan,"It Ain't Me, Babe",98bea491-ef97-4219-8e7c-9891a60fcc94
291,Bob Dylan,"It's All Over Now, Baby Blue",2be6cf87-a6c1-4fa4-9443-b40452c84360
292,Bob Dylan,Key West (Philosopher Pirate),0ec5f88e-94b7-49dc-8f07-38e5528254e2
293,Bob Dylan,Mother of Muses,02bd84f0-6da2-4732-9368-39b4bc002332
294,Bob Dylan,My Own Version of You,03306a2d-929f-4976-a79f-db008a46b9e1
295,Bob Dylan,To Be Alone With You,984b8779-89b1-47fd-b1bb-bd9a1851fb7d
296,Bob Dylan,Watching the River Flow,83361f93-3ddc-4bb7-b423-bd3d7e31aa9a
297,Bob Dylan,When I Paint My Masterpiece,4a859f8f-6e1a-4a4e-9ff7-987984db042a
298,Bon Jovi,American Reckoning,28d3c9eb-01e7-4bd7-9a3c-05114df3e8c6
299,Bon Jovi,Bad Medicine,5053c294-90fe-47e9-9e21-1a4c4538c20f
300,Bon Jovi,Beautiful Drug,0cc4ebca-587c-4a47-9685-8d0283154ea9
301,Bon Jovi,Blood on Blood,d69a18cb-2f21-483b-ba05-7b7021af7a47
302,Bon Jovi,Born to Be My Baby,efb8754d-8796-4536-88bf-1db134d54a98
